,countryNames,capital,Currency Abbreviation
0,France,['Paris'],['EUR']
1,Vatican City,['Vatican City'],['EUR']
2,Netherlands,['Amsterdam'],['EUR']
3,Serbia,['Belgrade'],['RSD']
4,North Macedonia,['Skopje'],['MKD']
5,Austria,['Vienna'],['EUR']
6,Lithuania,['Vilnius'],['EUR']
7,Finland,['Helsinki'],['EUR']
8,Albania,['Tirana'],['ALL']
9,Ireland,['Dublin'],['EUR']
10,Monaco,['Monaco'],['EUR']
11,Liechtenstein,['Vaduz'],['CHF']
12,Portugal,['Lisbon'],['EUR']
13,Denmark,['Copenhagen'],['DKK']
14,Slovakia,['Bratislava'],['EUR']
15,Germany,['Berlin'],['EUR']
16,Luxembourg,['Luxembourg'],['EUR']
17,Greece,['Athens'],['EUR']
18,Moldova,['Chișinău'],['MDL']
19,Ukraine,['Kyiv'],['UAH']
20,Italy,['Rome'],['EUR']
21,Andorra,['Andorra la Vella'],['EUR']
22,United Kingdom,['London'],['GBP']
23,Russia,['Moscow'],['RUB']
24,Åland Islands,['Mariehamn'],['EUR']
25,Poland,['Warsaw'],['PLN']
26,Malta,['Valletta'],['EUR']
27,Bosnia and Herzegovina,['Sarajevo'],['BAM']
28,Slovenia,['Ljubljana'],['EUR']
29,Jersey,['Saint Helier'],"['GBP', 'JEP']"
30,Belarus,['Minsk'],['BYN']
31,San Marino,['City of San Marino'],['EUR']
32,Czechia,['Prague'],['CZK']
33,Iceland,['Reykjavik'],['ISK']
34,Isle of Man,['Douglas'],"['GBP', 'IMP']"
35,Estonia,['Tallinn'],['EUR']
36,Switzerland,['Bern'],['CHF']
37,Kosovo,['Pristina'],['EUR']
38,Spain,['Madrid'],['EUR']
39,Romania,['Bucharest'],['RON']
40,Gibraltar,['Gibraltar'],['GIP']
41,Hungary,['Budapest'],['HUF']
42,Bulgaria,['Sofia'],['BGN']
43,Belgium,['Brussels'],['EUR']
44,Sweden,['Stockholm'],['SEK']
45,Faroe Islands,['Tórshavn'],"['DKK', 'FOK']"
46,Svalbard and Jan Mayen,['Longyearbyen'],['NOK']
47,Guernsey,['St. Peter Port'],"['GBP', 'GGP']"
48,Montenegro,['Podgorica'],['EUR']
49,Norway,['Oslo'],['NOK']
50,Latvia,['Riga'],['EUR']
51,Croatia,['Zagreb'],['EUR']
52,Cyprus,['Nicosia'],['EUR']
